x_mm,y_mm,z_mm,time_ns,global_id,face_type
-699.7735595703125,6.75,1.9609218835830688,6.316316604614258,4,0
699.5,-26.403310775756836,-0.4547487795352936,4.969039440155029,8,1
-699.5,-9.34798526763916,0.19538801908493042,3.0017807483673096,2,0
-699.5,-9.245137214660645,-1.7803350687026978,3.7216076850891113,2,0
699.5,-18.795547485351562,0.17922210693359375,5.109286308288574,9,1
-699.5,26.89946174621582,-0.28681305050849915,4.374276638031006,7,0
699.5,-4.584498405456543,1.5349297523498535,4.19534158706665,11,1
699.5,26.93973731994629,0.6489273905754089,4.913400650024414,15,1
-699.5,-3.506977081298828,1.0268728733062744,6.90537691116333,3,0
-699.5,3.026623487472534,-0.9367774128913879,4.338743209838867,4,0
-699.5,-3.9666879177093506,2.246005058288574,3.263798713684082,3,0
-699.5,-25.39640235900879,2.419281482696533,7.810338973999023,0,0
699.5,-3.714932918548584,-2.7871789932250977,3.6353209018707275,11,1
-699.5,-4.607089519500732,2.985999584197998,3.425585985183716,3,0
699.5,10.906564712524414,-2.229766845703125,8.416924476623535,13,1
-699.5,19.464366912841797,-0.3591284453868866,3.8132569789886475,6,0
-699.5,11.88521957397461,-2.38521671295166,3.409637212753296,5,0
699.5,-26.63174819946289,-1.0189430713653564,3.860752582550049,8,1
-699.5,-1.5591727495193481,-2.090993881225586,3.465412139892578,3,0
699.5,27.68943214416504,-0.8330858945846558,8.802179336547852,15,1
699.5,5.154800891876221,0.914418637752533,4.594648361206055,12,1
-699.5,24.442216873168945,-1.799863338470459,4.618714332580566,7,0
699.5,-3.9011850357055664,-2.4204390048980713,4.6095170974731445,11,1
699.5,1.7898399829864502,-1.9271212816238403,6.28594970703125,12,1
-699.5,-28.279836654663086,1.0109353065490723,4.128183364868164,0,0
699.5,-25.77723503112793,0.9497066736221313,7.5821757316589355,8,1
-699.5,-19.93284034729004,0.1871791034936905,3.435671091079712,1,0
-699.6499633789062,-20.915630340576172,-3.0,6.332371234893799,1,0
699.5,-3.5400357246398926,-1.6202654838562012,5.95982027053833,11,1
699.5,-27.39312744140625,0.26852479577064514,6.028374195098877,8,1
699.5,4.026798725128174,-0.017257584258913994,4.796281814575195,12,1
699.5,19.985885620117188,0.13354551792144775,3.690856695175171,14,1
-699.5,19.506784439086914,-2.932143449783325,7.526942729949951,6,0
699.5,-18.71862030029297,-2.259836435317993,3.2781596183776855,9,1
699.5,-26.672876358032227,-2.755887031555176,5.783061504364014,8,1
699.5,-2.440798044204712,2.881505012512207,4.091022491455078,11,1
699.5,-1.6882574558258057,-0.6478981375694275,5.839600086212158,11,1
-699.5,27.31052589416504,1.763464331626892,3.3821628093719482,7,0
-699.5,16.09513282775879,-0.227236807346344,4.573599815368652,6,0
-699.5,-20.671411514282227,-0.3681222200393677,4.470970630645752,1,0
699.5,17.49393653869629,-2.8361587524414062,6.09853458404541,14,1
-699.5718383789062,-23.25,-2.0477423667907715,7.573272228240967,0,0
-699.5,-27.048328399658203,-1.3594233989715576,5.351434707641602,0,0
-699.5,-10.966707229614258,1.6045721769332886,7.408960342407227,2,0
-699.5,29.036684036254883,2.070240020751953,4.624308109283447,7,0
-699.5,-3.462118625640869,-0.19184713065624237,4.401385307312012,3,0
699.5,17.377933502197266,-1.4427764415740967,3.579648971557617,14,1
-699.5,-5.219208240509033,-2.1914174556732178,4.652061462402344,3,0
699.5,27.949058532714844,2.6332178115844727,4.2568511962890625,15,1
699.5,-1.0013922452926636,1.5222606658935547,3.836872100830078,11,1
699.5,2.499998092651367,2.8093669414520264,4.158181190490723,12,1
699.5,-1.5849387645721436,-2.642106533050537,6.609414100646973,11,1
699.5,-10.257473945617676,-0.2242812067270279,4.364898204803467,10,1
699.5,-17.63581085205078,-1.6907349824905396,3.9504175186157227,9,1
-699.9437255859375,-29.25,2.2468438148498535,4.877822399139404,0,0
-699.5,2.1774966716766357,0.0909143015742302,6.4420881271362305,4,0
699.5,6.719272613525391,1.3980122804641724,3.6434168815612793,12,1
-699.5,-10.740010261535645,0.7713566422462463,4.207869529724121,2,0
-699.5,10.031542778015137,-2.1601905822753906,3.2643368244171143,5,0
-699.5,-19.70136833190918,2.4710819721221924,4.422252655029297,1,0
-699.5,11.743775367736816,2.044259548187256,9.935522079467773,5,0
