bin_center_ns,count
0.719,366.0
0.721,357.0
0.723,396.0
0.725,383.0
0.727,391.0
0.729,366.0
0.731,372.0
0.733,357.0
0.735,379.0
0.737,382.0
0.739,377.0
0.741,356.0
0.743,372.0
0.745,375.0
0.747,404.0
0.749,357.0
0.751,416.0
0.753,355.0
0.755,392.0
0.757,393.0
0.759,356.0
0.761,371.0
0.763,394.0
0.765,374.0
0.767,386.0
0.769,395.0
0.771,354.0
0.773,383.0
0.775,362.0
0.777,375.0
0.779,392.0
0.781,415.0
0.783,415.0
0.785,396.0
0.787,419.0
0.789,385.0
0.791,371.0
0.793,400.0
0.795,425.0
0.797,341.0
0.799,371.0
0.801,393.0
0.803,348.0
0.805,344.0
0.807,350.0
0.809,410.0
0.811,379.0
0.8130000000000001,364.0
0.8150000000000001,374.0
0.8170000000000001,364.0
0.8190000000000001,372.0
0.8210000000000001,358.0
0.8230000000000001,382.0
0.8250000000000001,386.0
0.8270000000000001,384.0
0.8290000000000001,362.0
0.8310000000000001,391.0
0.8330000000000001,418.0
0.835,399.0
0.837,392.0
0.839,376.0
0.841,370.0
0.843,403.0
0.845,413.0
0.847,391.0
0.849,382.0
0.851,388.0
0.853,407.0
0.855,414.0
0.857,386.0
0.859,399.0
0.861,383.0
0.863,374.0
0.865,387.0
0.867,406.0
0.869,381.0
0.871,398.0
0.873,357.0
0.875,347.0
0.877,386.0
0.879,374.0
0.881,393.0
0.883,371.0
0.885,373.0
0.887,364.0
0.889,362.0
0.891,361.0
0.893,389.0
0.895,399.0
0.897,380.0
0.899,381.0
0.901,380.0
0.903,364.0
0.905,372.0
0.907,411.0
0.909,365.0
0.911,370.0
0.913,394.0
0.915,391.0
0.917,422.0
0.919,375.0
0.921,383.0
0.923,369.0
0.925,377.0
0.927,387.0
0.929,377.0
0.931,395.0
0.933,354.0
0.935,391.0
0.937,390.0
0.9390000000000001,417.0
0.9410000000000001,380.0
0.9430000000000001,416.0
0.9450000000000001,358.0
0.9470000000000001,365.0
0.9490000000000001,389.0
0.9510000000000001,356.0
0.9530000000000001,416.0
0.9550000000000001,376.0
0.9570000000000001,404.0
0.9590000000000001,391.0
0.961,419.0
0.963,361.0
0.965,399.0
0.967,364.0
0.969,374.0
0.971,404.0
0.973,374.0
0.975,399.0
0.977,377.0
0.979,382.0
0.981,387.0
0.983,385.0
0.985,401.0
0.987,376.0
0.989,409.0
0.991,397.0
0.993,398.0
0.995,399.0
0.997,396.0
0.999,376.0
1.001,393.0
1.003,348.0
1.005,374.0
1.007,377.0
1.009,384.0
1.011,397.0
1.013,389.0
1.015,360.0
1.017,381.0
1.019,376.0
1.021,385.0
1.023,416.0
1.025,382.0
1.027,362.0
1.029,393.0
1.031,375.0
1.033,339.0
1.035,378.0
1.037,350.0
1.039,361.0
1.041,349.0
1.043,391.0
1.045,386.0
1.047,380.0
1.049,346.0
1.051,361.0
1.053,360.0
1.055,420.0
1.057,384.0
1.059,383.0
1.061,387.0
1.063,384.0
1.065,392.0
1.067,346.0
