bin_center_ns,count
0.719,176.0
0.721,187.0
0.723,164.0
0.725,163.0
0.727,172.0
0.729,186.0
0.731,187.0
0.733,152.0
0.735,167.0
0.737,171.0
0.739,172.0
0.741,185.0
0.743,164.0
0.745,173.0
0.747,170.0
0.749,168.0
0.751,159.0
0.753,157.0
0.755,166.0
0.757,163.0
0.759,174.0
0.761,171.0
0.763,188.0
0.765,174.0
0.767,164.0
0.769,168.0
0.771,164.0
0.773,166.0
0.775,185.0
0.777,179.0
0.779,173.0
0.781,158.0
0.783,171.0
0.785,197.0
0.787,155.0
0.789,179.0
0.791,188.0
0.793,167.0
0.795,178.0
0.797,206.0
0.799,159.0
0.801,180.0
0.803,178.0
0.805,171.0
0.807,155.0
0.809,192.0
0.811,153.0
0.8130000000000001,174.0
0.8150000000000001,178.0
0.8170000000000001,209.0
0.8190000000000001,180.0
0.8210000000000001,198.0
0.8230000000000001,180.0
0.8250000000000001,186.0
0.8270000000000001,165.0
0.8290000000000001,156.0
0.8310000000000001,156.0
0.8330000000000001,208.0
0.835,172.0
0.837,191.0
0.839,192.0
0.841,202.0
0.843,203.0
0.845,172.0
0.847,172.0
0.849,186.0
0.851,184.0
0.853,189.0
0.855,190.0
0.857,171.0
0.859,166.0
0.861,183.0
0.863,197.0
0.865,185.0
0.867,201.0
0.869,209.0
0.871,176.0
0.873,179.0
0.875,191.0
0.877,168.0
0.879,182.0
0.881,178.0
0.883,172.0
0.885,169.0
0.887,169.0
0.889,169.0
0.891,184.0
0.893,166.0
0.895,175.0
0.897,205.0
0.899,179.0
0.901,187.0
0.903,185.0
0.905,178.0
0.907,186.0
0.909,154.0
0.911,193.0
0.913,172.0
0.915,173.0
0.917,195.0
0.919,184.0
0.921,203.0
0.923,187.0
0.925,178.0
0.927,205.0
0.929,153.0
0.931,169.0
0.933,193.0
0.935,179.0
0.937,193.0
0.9390000000000001,192.0
0.9410000000000001,172.0
0.9430000000000001,193.0
0.9450000000000001,186.0
0.9470000000000001,170.0
0.9490000000000001,183.0
0.9510000000000001,157.0
0.9530000000000001,164.0
0.9550000000000001,164.0
0.9570000000000001,176.0
0.9590000000000001,203.0
0.961,185.0
0.963,163.0
0.965,217.0
0.967,195.0
0.969,180.0
0.971,179.0
0.973,194.0
0.975,187.0
0.977,225.0
0.979,200.0
0.981,216.0
0.983,187.0
0.985,183.0
0.987,194.0
0.989,213.0
0.991,179.0
0.993,187.0
0.995,141.0
0.997,179.0
0.999,173.0
1.001,161.0
1.003,203.0
1.005,195.0
1.007,171.0
1.009,199.0
1.011,170.0
1.013,194.0
1.015,177.0
1.017,182.0
1.019,204.0
1.021,169.0
1.023,175.0
1.025,188.0
1.027,189.0
1.029,171.0
1.031,189.0
1.033,195.0
1.035,190.0
1.037,172.0
1.039,169.0
1.041,203.0
1.043,183.0
1.045,200.0
1.047,181.0
1.049,190.0
1.051,169.0
1.053,207.0
1.055,187.0
1.057,183.0
1.059,167.0
1.061,167.0
1.063,185.0
1.065,174.0
1.067,206.0
1.069,162.0
1.071,188.0
1.073,184.0
1.075,197.0
1.077,166.0
1.079,196.0
1.081,174.0
1.083,165.0
1.085,206.0
1.087,191.0
1.089,180.0
1.091,160.0
1.093,191.0
1.095,189.0
1.097,192.0
1.099,196.0
1.101,192.0
1.103,184.0
1.105,198.0
1.107,178.0
1.109,184.0
1.111,190.0
1.113,185.0
1.115,201.0
1.117,178.0
1.119,168.0
1.121,186.0
1.123,177.0
1.125,194.0
1.127,153.0
1.129,172.0
1.131,171.0
1.133,193.0
1.135,170.0
1.137,180.0
1.139,191.0
1.141,192.0
1.143,170.0
1.145,197.0
1.147,189.0
1.149,197.0
1.151,173.0
1.153,204.0
1.1549999999999998,179.0
1.1569999999999998,182.0
1.1589999999999998,169.0
1.1609999999999998,185.0
1.1629999999999998,176.0
1.1649999999999998,196.0
1.1669999999999998,201.0
1.1689999999999998,179.0
1.1709999999999998,181.0
1.1729999999999998,178.0
1.1749999999999998,183.0
1.1769999999999998,183.0
1.1789999999999998,194.0
1.1809999999999998,197.0
1.1829999999999998,179.0
1.1849999999999998,182.0
1.1869999999999998,202.0
1.1889999999999998,162.0
1.1909999999999998,204.0
1.1929999999999998,190.0
1.1949999999999998,182.0
1.1969999999999998,177.0
1.1989999999999998,201.0
1.2009999999999998,213.0
1.2029999999999998,188.0
1.2049999999999998,181.0
1.2069999999999999,151.0
1.2089999999999999,185.0
1.2109999999999999,184.0
1.2129999999999999,165.0
1.2149999999999999,205.0
1.2169999999999999,186.0
1.2189999999999999,202.0
1.2209999999999999,179.0
1.2229999999999999,174.0
1.2249999999999999,172.0
1.2269999999999999,178.0
1.2289999999999999,166.0
1.2309999999999999,191.0
1.2329999999999999,192.0
1.2349999999999999,195.0
1.2369999999999999,197.0
1.2389999999999999,200.0
1.2409999999999999,189.0
1.2429999999999999,170.0
1.2449999999999999,171.0
1.2469999999999999,179.0
1.2489999999999999,213.0
1.251,172.0
1.253,178.0
1.255,193.0
1.257,181.0
1.259,183.0
1.261,189.0
1.263,200.0
1.265,198.0
1.267,169.0
1.269,162.0
1.271,151.0
1.273,179.0
1.275,170.0
1.277,213.0
1.279,186.0
1.281,192.0
1.283,203.0
1.285,205.0
1.287,162.0
1.289,188.0
1.291,186.0
1.293,189.0
1.295,176.0
1.297,169.0
1.299,169.0
1.301,180.0
1.303,161.0
1.305,185.0
1.307,182.0
1.309,193.0
1.311,165.0
1.313,202.0
1.315,178.0
1.317,171.0
1.319,187.0
1.321,196.0
1.323,186.0
1.325,179.0
1.327,218.0
1.329,196.0
1.331,190.0
1.333,175.0
1.335,178.0
1.337,174.0
1.339,210.0
1.341,167.0
1.343,198.0
1.345,174.0
1.347,155.0
1.349,195.0
1.351,171.0
1.353,169.0
1.355,184.0
1.357,176.0
1.359,166.0
1.361,178.0
1.363,162.0
1.365,190.0
1.367,162.0
1.369,215.0
1.371,171.0
1.373,198.0
1.375,168.0
1.377,174.0
1.379,186.0
1.381,192.0
1.383,167.0
1.385,210.0
1.387,158.0
1.389,182.0
1.391,158.0
1.393,181.0
1.395,177.0
