x_mm,n_events,n_triggered,trigger_efficiency,sigma_lr_ps,sigma_lr_err_ps,sigma_single_ps,sigma_single_err_ps,sigma_lr_rms_ps,cache_sigma_single_ps
0,2000,2000,1.0,196.7824937729867,4.957473276773968,139.14623576567845,3.505462971557967,209.50717264209436,140.2
400,2000,1989,0.9945,348.76696096248503,9.74398077182656,246.61548315039704,6.89003487950989,491.6765693128538,243.9
690,2000,1569,0.7845,592.498641533491,20.22947307357431,418.95980727214885,14.304397590155064,916.8615483490257,434.0
