pair_name,id1,id2,separation_mm,pearson_r_all,pearson_r_both_gt0,n_events,n_events_both_gt0
pair_A_49_52,49,52,64,-0.3938586113356816,-0.3938586113356816,6000,6000
pair_B_50_51,50,51,24,0.8779401467474657,0.8779401467474657,6000,6000
pair_C_47_49,47,49,40,0.886721349341525,0.886721349341525,6000,6000
