x_mm,y_mm,z_mm,time_ns,global_id,face_type
699.5,-14.02294635772705,1.4681071043014526,3.7780487537384033,10,1
699.5,6.688404560089111,1.0170081853866577,1.5637227296829224,12,1
699.5,4.8927130699157715,0.5659700632095337,2.1997451782226562,12,1
699.5,-4.979342937469482,0.9667415618896484,1.476792335510254,11,1
699.5,-9.636679649353027,-1.605089783668518,2.167248010635376,10,1
699.8575439453125,21.75,-2.424438714981079,1.2453243732452393,14,1
699.5,25.236806869506836,-1.9921350479125977,2.977644205093384,15,1
699.5,15.784921646118164,-1.9082648754119873,1.7413653135299683,14,1
699.5,1.6892770528793335,-0.3944421112537384,2.953927755355835,12,1
699.5,16.852815628051758,-0.11290217936038971,1.1582727432250977,14,1
699.5,-3.4935803413391113,-1.4048925638198853,4.093050956726074,11,1
699.6539306640625,-4.16870641708374,3.0,1.4104564189910889,11,1
699.5,13.251677513122559,1.755310297012329,6.657793998718262,13,1
699.5,-0.9937196373939514,-1.4118590354919434,0.6948094367980957,11,1
699.5,-1.0778255462646484,-0.9965224862098694,1.3537437915802002,11,1
699.5,-2.3439862728118896,-1.6915955543518066,1.2298685312271118,11,1
699.5,-6.668149948120117,-1.4601000547409058,3.0086090564727783,11,1
699.5,-16.0330810546875,-0.5364972352981567,3.6523215770721436,9,1
699.5,9.791762351989746,-1.8088264465332031,6.839667320251465,13,1
699.5,17.6920108795166,0.6206689476966858,1.4766877889633179,14,1
699.5,-1.4760395288467407,1.6951707601547241,2.709221601486206,11,1
699.5,18.23951530456543,-2.6194560527801514,2.1618731021881104,14,1
699.5,26.503374099731445,-2.3650503158569336,1.7544357776641846,15,1
699.5,21.623443603515625,-2.4005370140075684,1.2083349227905273,14,1
699.5,3.678212881088257,2.7088351249694824,1.2723956108093262,12,1
699.5328979492188,-23.25,0.9034363031387329,2.3151159286499023,8,1
699.5,-10.933501243591309,-0.22529062628746033,0.6461295485496521,10,1
699.5,-18.112049102783203,-1.2905079126358032,3.766787052154541,9,1
699.5,20.743865966796875,-0.06730771064758301,2.9286773204803467,14,1
699.8119506835938,-2.529296398162842,-3.0,3.5961191654205322,11,1
699.5,-28.121700286865234,1.7688969373703003,1.2593799829483032,8,1
699.5,11.985504150390625,0.8964720964431763,0.9217601418495178,13,1
699.5,-8.676112174987793,0.14711691439151764,2.5612802505493164,10,1
699.5,3.057598829269409,2.968498706817627,1.1358973979949951,12,1
699.5,18.75240135192871,0.14289754629135132,3.4703369140625,14,1
699.5,-6.2300496101379395,-2.5927186012268066,1.7546006441116333,11,1
699.971923828125,15.75,1.609473705291748,0.8945586681365967,14,1
699.9790649414062,15.987709999084473,-3.0,2.91849422454834,14,1
699.5,-10.75693416595459,2.102202892303467,0.7208799123764038,10,1
699.5,8.304290771484375,-2.507150888442993,8.301922798156738,13,1
699.5,5.804226875305176,-0.725723922252655,1.338632345199585,12,1
699.5,-17.953489303588867,0.15034399926662445,4.668240070343018,9,1
699.5,-10.442643165588379,-0.7035425305366516,1.0122473239898682,10,1
699.5,-16.703453063964844,1.1538325548171997,5.139573574066162,9,1
699.5,-8.824563026428223,-0.8877912163734436,1.8387399911880493,10,1
699.5,-20.49336051940918,-2.5445945262908936,1.3547070026397705,9,1
699.5,1.3135075569152832,1.1010236740112305,2.928537368774414,12,1
699.5,-2.5079281330108643,1.4659126996994019,1.2091952562332153,11,1
699.5,3.892705202102661,1.2275168895721436,1.4973082542419434,12,1
699.5554809570312,23.25,1.8790947198867798,0.8056491613388062,15,1
699.5,5.508298873901367,-2.5791401863098145,4.479747295379639,12,1
699.5,-12.281634330749512,0.028034770861268044,0.6666682958602905,10,1
699.5,16.388568878173828,0.5923371911048889,3.2289016246795654,14,1
699.6632080078125,-26.9095458984375,3.0,2.3661601543426514,8,1
699.5,6.630744457244873,1.9134804010391235,2.494372606277466,12,1
699.7533569335938,8.25,-0.44405511021614075,1.187872052192688,13,1
699.7932739257812,-2.4559624195098877,3.0,4.072364330291748,11,1
699.5,27.2811222076416,0.04998546838760376,0.9867821931838989,15,1
699.5,-4.459961414337158,0.19785581529140472,2.395106077194214,11,1
699.5,2.7330334186553955,2.4832980632781982,3.752908229827881,12,1
699.5,9.515174865722656,-1.2867830991744995,7.222213268280029,13,1
699.5,-6.548274517059326,0.5417815446853638,2.598391532897949,11,1
699.5,-8.70458698272705,-0.8337704539299011,4.636700630187988,10,1
699.5,3.200408935546875,2.2738702297210693,2.1233415603637695,12,1
699.5,-10.563745498657227,0.6000769138336182,0.7000280022621155,10,1
699.5,-2.19275164604187,-1.3799715042114258,3.4461660385131836,11,1
699.5,-1.5564450025558472,1.2690770626068115,1.735834002494812,11,1
699.5,-4.631847858428955,2.8010432720184326,5.608766078948975,11,1
699.5,-2.1521449089050293,2.792736530303955,2.7946043014526367,11,1
699.5,5.268606185913086,-1.7597700357437134,2.1954665184020996,12,1
699.5,5.1834893226623535,-2.1110804080963135,2.356851577758789,12,1
699.5,-27.575641632080078,-0.7309180498123169,2.9912071228027344,8,1
699.5,-8.253615379333496,-1.7427395582199097,1.3624392747879028,10,1
699.5,8.73317813873291,1.3599032163619995,2.2098264694213867,13,1
699.5,-3.095799207687378,2.086855173110962,1.8997364044189453,11,1
699.5,-20.924745559692383,1.005360722541809,2.4893300533294678,9,1
699.5,12.33275032043457,-2.995875358581543,7.412192344665527,13,1
699.5,-13.811062812805176,-2.591465950012207,3.7393136024475098,10,1
699.5,4.401915550231934,-0.40351250767707825,1.9035160541534424,12,1
699.9286499023438,-23.25,-2.703794002532959,2.163651704788208,8,1
699.5,-13.477129936218262,1.5468469858169556,5.104710102081299,10,1
699.5,-16.573734283447266,0.6306368112564087,2.157831907272339,9,1
699.5,-17.574649810791016,-2.2055602073669434,2.7543020248413086,9,1
699.5,6.209236145019531,-1.363327980041504,1.4268887042999268,12,1
699.5,24.749074935913086,1.567490577697754,5.275076389312744,15,1
699.5,-19.219758987426758,2.4092869758605957,2.240828514099121,9,1
699.5,-15.965851783752441,-2.752506971359253,2.070908308029175,9,1
699.5,-1.9298609495162964,-2.2786715030670166,3.678730010986328,11,1
699.5,1.997623085975647,2.497223377227783,2.289346933364868,12,1
699.5,4.055858612060547,1.0559089183807373,4.108278751373291,12,1
699.5,-1.7370235919952393,1.2259163856506348,1.6418960094451904,11,1
