x_mm,n_events,n_triggered,trigger_efficiency,sigma_lr_ps,sigma_lr_err_ps,sigma_single_ps,sigma_single_err_ps,sigma_lr_rms_ps,cache_sigma_single_ps
0,2000,2000,1.0,199.5817501085319,5.344753797940263,141.12560890282188,3.779311654296114,205.59612607803237,141.5
400,2000,2000,1.0,291.6809910712992,8.165383361884244,206.2496067297285,5.773797946176157,372.8845593174064,209.3
690,2000,1911,0.9555,516.6534174703165,14.298521144757437,365.32913501646505,10.11058126239722,770.9694030889443,372.1
