bin_center_ns,count
0.719,169.0
0.721,184.0
0.723,153.0
0.725,158.0
0.727,188.0
0.729,174.0
0.731,164.0
0.733,156.0
0.735,158.0
0.737,157.0
0.739,201.0
0.741,166.0
0.743,156.0
0.745,169.0
0.747,157.0
0.749,174.0
0.751,169.0
0.753,156.0
0.755,176.0
0.757,153.0
0.759,161.0
0.761,173.0
0.763,148.0
0.765,190.0
0.767,166.0
0.769,158.0
0.771,189.0
0.773,171.0
0.775,177.0
0.777,150.0
0.779,192.0
0.781,178.0
0.783,161.0
0.785,198.0
0.787,167.0
0.789,169.0
0.791,177.0
0.793,180.0
0.795,169.0
0.797,206.0
0.799,178.0
0.801,181.0
0.803,185.0
0.805,182.0
0.807,171.0
0.809,159.0
0.811,164.0
0.8130000000000001,182.0
0.8150000000000001,170.0
0.8170000000000001,168.0
0.8190000000000001,174.0
0.8210000000000001,171.0
0.8230000000000001,179.0
0.8250000000000001,188.0
0.8270000000000001,161.0
0.8290000000000001,173.0
0.8310000000000001,169.0
0.8330000000000001,166.0
0.835,182.0
0.837,148.0
0.839,170.0
0.841,165.0
0.843,176.0
0.845,168.0
0.847,164.0
0.849,173.0
0.851,174.0
0.853,168.0
0.855,171.0
0.857,158.0
0.859,159.0
0.861,166.0
0.863,196.0
0.865,153.0
0.867,170.0
0.869,187.0
0.871,162.0
0.873,173.0
0.875,174.0
0.877,156.0
0.879,169.0
0.881,160.0
0.883,172.0
0.885,153.0
0.887,175.0
0.889,162.0
0.891,175.0
0.893,170.0
0.895,168.0
0.897,171.0
0.899,177.0
0.901,164.0
0.903,194.0
0.905,151.0
0.907,193.0
0.909,179.0
0.911,169.0
0.913,195.0
0.915,167.0
0.917,175.0
0.919,171.0
0.921,167.0
0.923,187.0
0.925,211.0
0.927,161.0
0.929,175.0
0.931,157.0
0.933,199.0
0.935,173.0
0.937,179.0
0.9390000000000001,171.0
0.9410000000000001,164.0
0.9430000000000001,166.0
0.9450000000000001,188.0
0.9470000000000001,186.0
0.9490000000000001,177.0
0.9510000000000001,162.0
0.9530000000000001,188.0
0.9550000000000001,153.0
0.9570000000000001,178.0
0.9590000000000001,141.0
0.961,170.0
0.963,175.0
0.965,178.0
